Borough,Contributing Factor 1,Contributing Factor 2,Cross Street Name,Hour of the Day,Date,Latitude,Location,Longitude,# Persons Injured,# Persons Killed,# Records,Street Name,Time,Vehicle Type 1,Vehicle Type 2,Zip Code
BROOKLYN,Following Too Closely,Unspecified,,13,3/7/2017,40.697254,"(40.697254, -73.96183)",-73.96183,0,0,1,,12/30/1899 1:37:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,11205
Unspecified,Following Too Closely,Reaction to Other Uninvolved Vehicle,,13,3/7/2017,40.79537,"(40.79537, -73.921974)",-73.921974,1,0,1,,12/30/1899 1:38:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
Unspecified,Driver Inattention/Distraction,Reaction to Other Uninvolved Vehicle,,13,3/7/2017,40.758644,"(40.758644, -73.981346)",-73.981346,0,0,1,WEST 48 STREET,12/30/1899 1:40:00 PM,PASSENGER VEHICLE,TAXI,
BROOKLYN,Unspecified,Unspecified,AVENUE H,13,3/7/2017,40.632847,"(40.632847, -73.928375)",-73.928375,0,0,1,UTICA AVENUE,12/30/1899 1:50:00 PM,,,11234
Unspecified,Unspecified,Unspecified,,19,8/25/2015,40.7329414,"(40.7329414, -73.9203819)",-73.9203819,0,0,1,,12/30/1899 7:00:00 PM,PASSENGER VEHICLE,TAXI,
Unspecified,Driver Inexperience,Unspecified,,22,7/27/2012,,,,0,0,1,,12/30/1899 10:35:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,,,RIVERDALE AVENUE,0,5/17/2014,,,,0,0,1,PENNSYLVANIA AVENUE,12/30/1899 12:45:00 AM,,,
QUEENS,Traffic Control Disregarded,Traffic Control Disregarded,57 ROAD,13,3/7/2017,40.746902,"(40.746902, -73.834694)",-73.834694,1,0,1,COLLEGE POINT BOULEVARD,12/30/1899 1:50:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,11355
BRONX,Driver Inattention/Distraction,Unspecified,,14,3/7/2017,40.84203,"(40.84203, -73.84956)",-73.84956,0,0,1,,12/30/1899 2:00:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,10461
BROOKLYN,Unspecified,Unspecified,EAST 12 STREET,14,3/7/2017,40.624878,"(40.624878, -73.96418)",-73.96418,0,0,1,AVENUE J,12/30/1899 2:00:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11230
Unspecified,Unsafe Lane Changing,Unspecified,,13,9/8/2016,,,,0,0,1,,12/30/1899 1:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Traffic Control Disregarded,Unspecified,,13,9/8/2016,,,,1,0,1,CENTRAL AVENUE,12/30/1899 1:09:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
Unspecified,Unspecified,Unspecified,3 AVENUE,13,9/8/2016,,,,1,0,1,EAST 161 STREET,12/30/1899 1:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
BRONX,Unspecified,Unspecified,,14,9/8/2016,,,,0,0,1,,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),10472
BRONX,Unspecified,Unspecified,PUGSLEY AVENUE,14,9/8/2016,,,,0,0,1,SEWARD AVENUE,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10473
BRONX,Unspecified,Unspecified,,14,9/8/2016,,,,0,0,1,,12/30/1899 2:09:00 PM,,,10475
MANHATTAN,Unspecified,Unspecified,9 AVENUE,14,9/8/2016,,,,0,0,1,WEST 16 STREET,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10011
MANHATTAN,Driver Inattention/Distraction,Driver Inattention/Distraction,,14,9/8/2016,40.745715,"(40.745715, -73.9865315)",-73.9865315,0,0,1,,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10016
MANHATTAN,Unspecified,Unspecified,COLUMBUS CIRCLE,14,9/8/2016,,,,0,0,1,CENTRAL PARK SOUTH,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10019
BROOKLYN,Passing or Lane Usage Improper,Unspecified,50 STREET,14,3/7/2017,40.62774,"(40.62774, -73.981575)",-73.981575,0,0,1,18 AVENUE,12/30/1899 2:18:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11204
BROOKLYN,Unspecified,Unspecified,,14,3/7/2017,40.637478,"(40.637478, -73.99922)",-73.99922,0,0,1,,12/30/1899 2:18:00 PM,PASSENGER VEHICLE,,11219
QUEENS,Failure to Yield Right-of-Way,Unspecified,89 STREET,14,3/7/2017,40.682808,"(40.682808, -73.851135)",-73.851135,0,0,1,101 AVENUE,12/30/1899 2:20:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11416
STATEN ISLAND,Driver Inattention/Distraction,Unspecified,,14,3/7/2017,40.638283,"(40.638283, -74.075874)",-74.075874,0,0,1,,12/30/1899 2:20:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,10301
Unspecified,Passing or Lane Usage Improper,Following Too Closely,,14,3/7/2017,40.667778,"(40.667778, -73.80127)",-73.80127,0,0,1,,12/30/1899 2:20:00 PM,PASSENGER VEHICLE,,
BROOKLYN,Driver Inattention/Distraction,Unspecified,EASTERN PARKWAY,14,3/7/2017,40.67392,"(40.67392, -73.91012)",-73.91012,1,0,1,BERGEN STREET,12/30/1899 2:20:00 PM,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,11233
QUEENS,Accelerator Defective,Unspecified,,14,3/7/2017,40.717693,"(40.717693, -73.81128)",-73.81128,0,0,1,,12/30/1899 2:22:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11432
